Entity,Year,Both,Male,Female,Male Percentage,Female Percentage,WHO region
Afghanistan,2016,5.5,3.2,7.6,30.0,70.0,Eastern Mediterranean
Albania,2016,21.7,21.6,21.8,50.0,50.0,Europe
Algeria,2016,27.4,19.9,34.9,36.0,64.0,Africa
Andorra,2016,25.6,25.9,25.3,51.0,49.0,Europe
Angola,2016,8.2,4.0,12.1,25.0,75.0,Africa
Antigua and Barbuda,2016,18.9,11.6,25.9,31.0,69.0,Americas
Argentina,2016,28.3,27.3,29.0,48.0,52.0,Americas
Armenia,2016,20.2,17.1,23.0,43.0,56.0,Europe
Australia,2016,29.0,29.6,28.4,51.0,49.0,Western Pacific
Austria,2016,20.1,21.9,18.3,54.0,46.0,Europe
Azerbaijan,2016,19.9,15.8,23.6,40.0,60.0,Europe
Bahamas,2016,31.6,24.4,38.1,39.0,61.0,Americas
Bahrain,2016,29.8,25.5,36.8,41.0,59.0,Eastern Mediterranean
Bangladesh,2016,3.6,2.3,5.0,32.0,68.0,South-East Asia
Barbados,2016,23.1,14.7,31.3,32.0,68.0,Americas
Belarus,2016,24.5,22.1,26.3,46.0,54.0,Europe
Belgium,2016,22.1,23.1,21.0,52.0,48.0,Europe
Belize,2016,24.1,16.5,31.5,34.0,66.0,Americas
Benin,2016,9.6,4.7,14.2,25.0,75.0,Africa
Bhutan,2016,6.4,4.7,8.5,36.0,64.0,South-East Asia
Bolivia,2016,20.2,14.5,25.6,36.0,64.0,Americas
Bosnia and Herz.,2016,17.9,17.1,18.4,48.0,52.0,Europe
Botswana,2016,18.9,8.1,29.3,22.0,78.0,Africa
Brazil,2016,22.1,18.5,25.4,42.0,57.0,Americas
Brunei,2016,14.1,12.5,15.7,44.0,56.0,Western Pacific
Bulgaria,2016,25.0,25.5,24.3,51.0,49.0,Europe
Burkina Faso,2016,5.6,2.6,8.1,24.0,76.0,Africa
Burundi,2016,5.4,2.1,8.6,20.0,80.0,Africa
Cambodia,2016,3.9,2.7,4.8,36.0,64.0,Western Pacific
Cameroon,2016,11.4,6.1,16.4,27.0,73.0,Africa
Canada,2016,29.4,29.5,29.3,50.0,50.0,Americas
Cape Verde,2016,11.8,6.9,16.3,30.0,70.0,Africa
Central African Rep.,2016,7.5,3.7,10.9,25.0,75.0,Africa
Chad,2016,6.1,3.1,8.9,26.0,74.0,Africa
Chile,2016,28.0,24.9,31.0,45.0,55.0,Americas
China,2016,6.2,5.9,6.5,48.0,52.0,Western Pacific
Colombia,2016,22.3,17.6,26.6,40.0,60.0,Americas
Comoros,2016,7.8,3.3,12.2,21.0,79.0,Africa
Congo,2016,9.6,5.5,13.5,28.0,71.0,Africa
Cook Islands,2016,55.9,52.6,59.2,47.0,53.0,Western Pacific
Costa Rica,2016,25.7,21.1,30.4,41.0,59.0,Americas
Côte d'Ivoire,2016,10.3,5.8,15.2,28.0,72.0,Africa
Croatia,2016,24.4,24.1,24.5,50.0,50.0,Europe
Cuba,2016,24.6,18.9,30.3,38.0,62.0,Americas
Cyprus,2016,21.8,21.9,21.6,50.0,50.0,Europe
Czechia,2016,26.0,26.4,25.4,51.0,49.0,Europe
Dem. Rep. Congo,2016,6.7,3.6,9.7,27.0,73.0,Africa
Denmark,2016,19.7,22.3,17.0,56.0,43.0,Europe
Djibouti,2016,13.5,8.6,18.3,32.0,68.0,Eastern Mediterranean
Dominica,2016,27.9,19.9,35.6,36.0,64.0,Americas
Dominican Rep.,2016,27.6,21.0,34.1,38.0,62.0,Americas
Ecuador,2016,19.9,14.9,24.7,38.0,62.0,Americas
Egypt,2016,32.0,22.7,41.1,36.0,64.0,Eastern Mediterranean
El Salvador,2016,24.6,18.9,28.9,40.0,60.0,Americas
Eq. Guinea,2016,8.0,3.8,12.6,23.0,77.0,Africa
Eritrea,2016,5.0,2.0,7.6,21.0,79.0,Africa
Estonia,2016,21.2,20.3,21.8,48.0,52.0,Europe
Ethiopia,2016,4.5,1.9,6.9,22.0,78.0,Africa
Fiji,2016,30.2,25.1,35.3,42.0,57.0,Western Pacific
Finland,2016,22.2,23.7,20.6,53.0,47.0,Europe
France,2016,21.6,22.0,21.1,51.0,49.0,Europe
Gabon,2016,15.0,9.6,20.3,32.0,68.0,Africa
Gambia,2016,10.3,5.6,14.8,27.0,73.0,Africa
Georgia,2016,21.7,19.2,23.8,45.0,55.0,Europe
Germany,2016,22.3,24.2,20.4,54.0,46.0,Europe
Ghana,2016,10.9,4.5,16.6,21.0,79.0,Africa
Greece,2016,24.9,24.2,25.4,49.0,51.0,Europe
Grenada,2016,21.3,13.3,29.0,31.0,69.0,Americas
Guatemala,2016,21.2,15.1,26.4,36.0,64.0,Americas
Guinea,2016,7.7,3.7,11.5,24.0,76.0,Africa
Guinea-Bissau,2016,9.5,5.0,13.7,27.0,73.0,Africa
Guyana,2016,20.2,12.7,27.1,32.0,68.0,Americas
Haiti,2016,22.7,17.9,26.9,40.0,60.0,Americas
Honduras,2016,21.4,15.6,26.9,37.0,63.0,Americas
Hungary,2016,26.4,28.2,24.6,53.0,47.0,Europe
Iceland,2016,21.9,24.2,19.4,56.0,44.0,Europe
India,2016,3.9,2.7,5.1,35.0,65.0,South-East Asia
Indonesia,2016,6.9,4.8,8.9,35.0,65.0,South-East Asia
Iran,2016,25.8,19.3,32.2,37.0,63.0,Eastern Mediterranean
Iraq,2016,30.4,23.4,37.0,39.0,61.0,Eastern Mediterranean
Ireland,2016,25.3,25.1,25.5,50.0,50.0,Europe
Israel,2016,26.1,25.9,26.2,50.0,50.0,Europe
Italy,2016,19.9,20.1,19.5,51.0,49.0,Europe
Jamaica,2016,24.7,15.3,33.4,31.0,69.0,Americas
Japan,2016,4.3,4.8,3.7,56.0,44.0,Western Pacific
Jordan,2016,35.5,28.2,43.1,40.0,60.0,Eastern Mediterranean
Kazakhstan,2016,21.0,18.9,22.7,45.0,55.0,Europe
Kenya,2016,7.1,2.8,11.1,20.0,80.0,Africa
Kiribati,2016,46.0,41.6,50.4,45.0,55.0,Western Pacific
Kuwait,2016,37.9,33.3,45.6,42.0,57.0,Eastern Mediterranean
Kyrgyzstan,2016,16.6,14.0,18.6,43.0,56.0,Europe
Laos,2016,5.3,3.7,6.7,36.0,64.0,Western Pacific
Latvia,2016,23.6,21.6,25.1,46.0,54.0,Europe
Lebanon,2016,32.0,27.4,37.0,43.0,56.0,Eastern Mediterranean
Lesotho,2016,16.6,4.6,26.7,15.0,85.0,Africa
Liberia,2016,9.9,5.5,14.2,28.0,72.0,Africa
Libya,2016,32.5,25.0,39.6,39.0,61.0,Eastern Mediterranean
Lithuania,2016,26.3,24.2,27.8,47.0,53.0,Europe
Luxembourg,2016,22.6,24.5,20.7,54.0,46.0,Europe
Macedonia,2016,22.4,22.6,22.1,51.0,49.0,Europe
Madagascar,2016,5.3,3.0,7.5,28.0,71.0,Africa
Malawi,2016,5.8,2.2,9.1,19.0,81.0,Africa
Malaysia,2016,15.6,13.0,17.9,42.0,57.0,Western Pacific
Maldives,2016,8.6,5.8,11.4,34.0,66.0,South-East Asia
Mali,2016,8.6,4.6,12.4,27.0,73.0,Africa
Malta,2016,28.9,29.2,28.5,51.0,49.0,Europe
Marshall Islands,2016,52.9,48.4,57.3,46.0,54.0,Western Pacific
Mauritania,2016,12.7,6.6,18.5,26.0,74.0,Africa
Mauritius,2016,10.8,5.6,15.7,26.0,74.0,Africa
Mexico,2016,28.9,24.3,32.8,43.0,56.0,Americas
Micronesia (country),2016,45.8,40.1,51.5,44.0,56.0,Western Pacific
Moldova,2016,18.9,16.2,21.1,43.0,56.0,Europe
Mongolia,2016,20.6,17.5,23.2,43.0,56.0,Western Pacific
Montenegro,2016,23.3,23.3,23.1,50.0,50.0,Europe
Morocco,2016,26.1,19.4,32.2,38.0,62.0,Eastern Mediterranean
Mozambique,2016,7.2,3.3,10.5,24.0,76.0,Africa
Myanmar,2016,5.8,4.0,7.3,35.0,65.0,South-East Asia
Namibia,2016,17.2,7.5,25.4,23.0,77.0,Africa
Nauru,2016,61.0,58.7,63.3,48.0,52.0,Western Pacific
Nepal,2016,4.1,2.7,5.4,33.0,67.0,South-East Asia
Netherlands,2016,20.4,20.8,20.0,51.0,49.0,Europe
New Zealand,2016,30.8,30.1,31.4,49.0,51.0,Western Pacific
Nicaragua,2016,23.7,17.9,29.0,38.0,62.0,Americas
Niger,2016,5.5,2.5,8.7,22.0,78.0,Africa
Nigeria,2016,8.9,4.6,13.1,26.0,74.0,Africa
Niue,2016,50.0,44.8,55.1,45.0,55.0,Western Pacific
North Korea,2016,6.8,6.1,7.3,46.0,54.0,South-East Asia
Norway,2016,23.1,23.6,22.5,51.0,49.0,Europe
Oman,2016,27.0,22.9,33.7,40.0,60.0,Eastern Mediterranean
Pakistan,2016,8.6,6.0,11.3,35.0,65.0,Eastern Mediterranean
Palau,2016,55.3,51.8,58.8,47.0,53.0,Western Pacific
Panama,2016,22.7,17.8,27.6,39.0,61.0,Americas
Papua New Guinea,2016,21.3,16.6,25.8,39.0,61.0,Western Pacific
Paraguay,2016,20.3,17.1,23.4,42.0,57.0,Americas
Peru,2016,19.7,15.2,24.2,39.0,61.0,Americas
Philippines,2016,6.4,5.2,7.5,41.0,59.0,Western Pacific
Poland,2016,23.1,23.7,22.2,52.0,48.0,Europe
Portugal,2016,20.8,20.3,21.2,49.0,51.0,Europe
Qatar,2016,35.1,32.5,43.1,43.0,56.0,Eastern Mediterranean
Romania,2016,22.5,23.4,21.6,52.0,48.0,Europe
Russia,2016,23.1,18.1,26.9,40.0,60.0,Europe
Rwanda,2016,5.8,1.9,9.3,17.0,83.0,Africa
Saint Kitts and Nevis,2016,22.9,15.3,30.1,34.0,66.0,Americas
Saint Lucia,2016,19.7,12.0,27.0,31.0,69.0,Americas
Saint Vincent and the Grenadines,2016,23.7,16.6,31.0,35.0,65.0,Americas
Samoa,2016,47.3,39.9,55.0,42.0,57.0,Western Pacific
Sao Tome and Principe,2016,12.4,7.2,16.9,30.0,70.0,Africa
Saudi Arabia,2016,35.4,30.8,42.3,42.0,57.0,Eastern Mediterranean
Senegal,2016,8.8,4.0,12.9,24.0,76.0,Africa
Serbia,2016,21.5,21.1,21.8,49.0,51.0,Europe
Seychelles,2016,14.0,7.6,20.5,27.0,73.0,Africa
Sierra Leone,2016,8.7,3.8,13.3,22.0,78.0,Africa
Singapore,2016,6.1,5.8,6.3,48.0,52.0,Western Pacific
Slovakia,2016,20.5,21.0,19.9,51.0,49.0,Europe
Slovenia,2016,20.2,19.4,21.0,48.0,52.0,Europe
Solomon Is.,2016,22.5,17.9,27.1,40.0,60.0,Western Pacific
Somalia,2016,8.3,3.9,12.3,24.0,76.0,Eastern Mediterranean
South Africa,2016,28.3,15.4,39.6,28.0,72.0,Africa
South Korea,2016,4.7,4.4,4.8,48.0,52.0,Western Pacific
Spain,2016,23.8,24.6,22.8,52.0,48.0,Europe
Sri Lanka,2016,5.2,2.9,7.3,28.0,72.0,South-East Asia
Sudan,2016,8.6,3.8,12.4,23.0,77.0,Eastern Mediterranean
Suriname,2016,26.4,18.9,33.7,36.0,64.0,Americas
eSwatini,2016,16.5,5.4,26.2,17.0,83.0,Africa
Sweden,2016,20.6,23.1,18.1,56.0,44.0,Europe
Switzerland,2016,19.5,22.2,16.9,56.0,43.0,Europe
Syria,2016,27.8,20.9,34.8,38.0,62.0,Eastern Mediterranean
Tajikistan,2016,14.2,11.6,16.7,41.0,59.0,Europe
Tanzania,2016,8.4,4.0,12.7,24.0,76.0,Africa
Thailand,2016,10.0,7.0,12.7,36.0,64.0,South-East Asia
Timor,2016,3.8,2.6,4.9,35.0,65.0,South-East Asia
Togo,2016,8.4,3.9,12.5,24.0,76.0,Africa
Tonga,2016,48.2,41.4,54.5,43.0,56.0,Western Pacific
Trinidad and Tobago,2016,18.6,10.8,26.0,28.0,71.0,Americas
Tunisia,2016,26.9,19.1,34.3,36.0,64.0,Eastern Mediterranean
Turkey,2016,32.1,24.4,39.2,38.0,62.0,Europe
Turkmenistan,2016,18.6,15.9,20.9,43.0,56.0,Europe
Tuvalu,2016,51.6,47.0,56.2,46.0,54.0,Western Pacific
Uganda,2016,5.3,1.8,8.6,17.0,83.0,Africa
Ukraine,2016,24.1,22.0,25.7,46.0,54.0,Europe
United Arab Emirates,2016,31.7,27.5,41.0,40.0,60.0,Eastern Mediterranean
United Kingdom,2016,27.8,26.9,28.6,48.0,52.0,Europe
United States of America,2016,36.2,35.5,37.0,49.0,51.0,Americas
Uruguay,2016,27.9,24.9,30.6,45.0,55.0,Americas
Uzbekistan,2016,16.6,13.8,19.0,42.0,57.0,Europe
Vanuatu,2016,25.2,20.2,30.1,40.0,60.0,Western Pacific
Venezuela,2016,25.6,22.4,28.6,44.0,56.0,Americas
Vietnam,2016,2.1,1.6,2.6,38.0,62.0,Western Pacific
Yemen,2016,17.1,12.0,22.0,35.0,65.0,Eastern Mediterranean
Zambia,2016,8.1,3.6,12.4,22.0,78.0,Africa
Zimbabwe,2016,15.5,4.7,25.3,16.0,84.0,Africa
S. Sudan,2016,8.6,3.8,12.4,23.0,77.0,Eastern Mediterranean
Somaliland,2016,8.3,3.9,12.3,24.0,76.0,Eastern Mediterranean
Kosovo,2016,21.5,21.1,21.8,49.0,51.0,Europe
Falkland Is.,2016,28.3,27.3,29.0,48.0,52.0,Americas
Timor-Leste,2016,3.8,2.6,4.9,35.0,65.0,South-East Asia
Palestine,2016,0.0,,,,,Eastern Mediterranean
