Entity,Year,Both,Male,Female,WHO region
Tanzania,2016,8.4,4.0,12.7,Africa
Thailand,2016,10.0,7.0,12.7,South-East Asia
Timor,2016,3.8,2.6,4.9,South-East Asia
Togo,2016,8.4,3.9,12.5,Africa
Tonga,2016,48.2,41.4,54.5,Western Pacific
Trinidad and Tobago,2016,18.6,10.8,26.0,Americas
Tunisia,2016,26.9,19.1,34.3,Eastern Mediterranean
Turkey,2016,32.1,24.4,39.2,Europe
Turkmenistan,2016,18.6,15.9,20.9,Europe
Tuvalu,2016,51.6,47.0,56.2,Western Pacific
Uganda,2016,5.3,1.8,8.6,Africa
Ukraine,2016,24.1,22.0,25.7,Europe
United Arab Emirates,2016,31.7,27.5,41.0,Eastern Mediterranean
United Kingdom,2016,27.8,26.9,28.6,Europe
United States of America,2016,36.2,35.5,37.0,Americas
Uruguay,2016,27.9,24.9,30.6,Americas
Uzbekistan,2016,16.6,13.8,19.0,Europe
Vanuatu,2016,25.2,20.2,30.1,Western Pacific
Venezuela,2016,25.6,22.4,28.6,Americas
Vietnam,2016,2.1,1.6,2.6,Western Pacific
Yemen,2016,17.1,12.0,22.0,Eastern Mediterranean
Zambia,2016,8.1,3.6,12.4,Africa
Zimbabwe,2016,15.5,4.7,25.3,Africa
S. Sudan,2016,8.6,3.8,12.4,Eastern Mediterranean
Somaliland,2016,8.3,3.9,12.3,Eastern Mediterranean
Kosovo,2016,21.5,21.1,21.8,Europe
Falkland Is.,2016,28.3,27.3,29.0,Americas
Timor-Leste,2016,3.8,2.6,4.9,South-East Asia
